id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
36690,Tiny home in Caye Caulker · ★4.82 · 1 bed · 1 bath,157752,Monique,Belize,Belize Islands,17.74832,-88.02474,Entire home/apt,101,3,417,2023-12-16,2.56,3,231,38,
120115,Condo in Caye Caulker Village  · ★4.86 · 2 bedrooms · 2 beds · 2 baths,604999,Bobbi,Belize,Belize Islands,17.74166,-88.02395,Entire home/apt,555,1,57,2023-11-07,0.70,31,235,12,
120116,Home in Caye Caulker Village  · ★4.54 · 1 bedroom · 1 bed · 1 bath,604999,Bobbi,Belize,Belize Islands,17.73644,-88.02858,Entire home/apt,139,2,71,2023-10-18,0.74,31,296,14,
1923992,Rental unit in Caye Caulker · ★4.31 · 1 bedroom · 2 beds · 1 bath,9968080,Alexis & Scott,Belize,Belize Islands,17.743173599243164,-88.0242691040039,Entire home/apt,139,1,112,2023-11-13,0.92,7,0,20,
5558925,Bed and breakfast in San Pedro · ★4.92 · 1 bedroom · 1 bed · 1 bath,25998251,Jason And Brandi,Belize,Belize Islands,17.94294,-87.94646,Hotel room,403,2,83,2023-03-05,0.78,4,283,1,
5576163,Bungalow in San Pedro · ★4.92 · 1 bedroom · 1 bed · 1 bath,25998251,Jason And Brandi,Belize,Belize Islands,17.94026,-87.94711,Entire home/apt,484,2,66,2023-02-17,0.62,4,272,1,
5716175,Cabin in Belize · ★4.90 · 1 bedroom · 1 bed · 1 bath,604999,Bobbi,Belize,Belize Islands,17.73876,-88.02832,Entire home/apt,281,3,10,2021-06-13,0.11,31,24,0,
5716473,Rental unit in Caye Caulker  · ★4.78 · 1 bedroom · 1 bed · 1 bath,604999,Bobbi,Belize,Belize Islands,17.73872,-88.02831,Entire home/apt,257,2,9,2023-11-12,0.09,31,74,1,
5717367,Home in Benque Viejo Del Carmen · ★4.83 · 1 bedroom · 3 beds · 1 bath,29641332,Kaissa,Cayo,Cayo,17.05426,-89.11307,Entire home/apt,30,1,6,2017-10-16,0.06,1,0,0,
5767394,Rental unit in San Pedro · ★4.72 · 1 bedroom · 1 bed · 0 baths,29921817,Maria,Belize,Belize Islands,17.91939,-87.96218,Entire home/apt,242,1,102,2022-01-05,1.02,5,0,0,
5940035,Cottage in Belize · ★4.82 · 2 bedrooms · 2 beds · 1 bath,30838439,Mark,Belize,Belize Islands,17.73677,-88.02904,Entire home/apt,252,3,161,2023-12-25,1.55,1,277,22,
10363638,Guesthouse in Caye Caulker · ★4.87 · 1 bedroom · 1 bed · 1 bath,9430792,Chila,Belize,Belize Islands,17.74918,-88.02397,Entire home/apt,121,2,145,2023-11-07,1.51,3,289,12,
10514308,Condo in San Pedro · ★4.94 · 1 bedroom · 2 beds · 1 bath,49014327,Hummingbird Island,Belize,Belize Islands,17.90964698791504,-87.9726333618164,Entire home/apt,246,2,48,2023-03-26,0.51,5,300,3,
10523416,Bungalow in San Marcos · ★4.95 · 1 bedroom · 8 beds · 1 bath,54254514,Marisa,Toledo,Toledo Mainland,16.215588,-88.906654,Entire home/apt,170,2,20,2023-08-23,0.22,3,327,4,
10573186,Rental unit in Punta Gorda · ★4.0 · 2 bedrooms · 4 beds · 1 shared bath,54539897,Sea Front,Toledo,Toledo Mainland,16.1003,-88.80445,Private room,151,1,12,2023-12-22,0.17,1,354,5,
10698102,Home in Cayo · ★4.86 · 2 bedrooms · 3 beds · 1 bath,682330,Lee,Cayo,Cayo,17.169,-89.11207,Entire home/apt,75,4,7,2019-05-18,0.08,1,0,0,
10702654,Cabin in Caye Caulker · ★4.93 · 1 bedroom · 1 bed · 1 bath,28119422,Aria & Ben,Belize,Belize Islands,17.73801,-88.02625,Entire home/apt,220,1,207,2023-12-23,2.20,4,0,27,
10744438,Bed and breakfast in Belize · ★4.88 · 1 bedroom · 1 bed · 1 private bath,55546205,Aimee & Mike,Belize,Belize Islands,17.97316,-87.9717,Private room,212,1,204,2023-12-12,2.25,4,261,33,
10851488,Bed and breakfast in Belize · ★4.88 · 1 bedroom · 1 private bath,55546205,Aimee & Mike,Belize,Belize Islands,17.97316,-87.9717,Private room,182,1,244,2023-12-05,2.66,4,279,39,
14484119,Condo in Ambergris Caye · ★4.84 · 2 bedrooms · 2 beds · 2 baths,85339670,Tres Cocos Resort,Belize,Belize Islands,17.93454,-87.95304,Entire home/apt,851,3,19,2023-07-23,0.22,23,290,1,
14486190,Guesthouse in San Pedro · ★4.84 · 1 bedroom · 1 bed · 1 private bath,3726010,Diana,Belize,Belize Islands,17.910724639892578,-87.97432708740234,Private room,165,1,192,2023-12-22,2.15,7,321,13,
14591424,Condo in Caye Caulker · ★4.95 · 1 bedroom · 1 bed · 1 bath,604999,Bobbi,Belize,Belize Islands,17.74522,-88.02509,Entire home/apt,484,2,37,2023-12-09,0.42,31,248,9,
14651096,Cabin in San Ignacio · ★4.94 · 1 bedroom · 1 bed · 1 bath,78413902,Peter,Cayo,Cayo,17.15749,-89.07782,Entire home/apt,99,1,347,2023-12-07,3.93,4,299,48,
152512,Serviced apartment in Placencia · ★4.86 · 1 bedroom · 1 bed · 1 bath,733857,Jacqueline Ann,Stann Creek,Stann Creek Mainland,16.52693,-88.36864,Entire home/apt,252,7,71,2023-05-24,0.48,5,227,3,
152922,Home in Belmopan · ★4.55 · 1 bedroom · 1 bed · 1 private bath,735525,Jennifer,Cayo,Cayo,17.25428,-88.76771,Private room,52,1,11,2019-12-14,0.12,1,365,0,
171294,Place to stay in San Ignacio · ★4.43 · 1 bedroom · 1 bed · 1 shared bath,817242,Michael,Cayo,Cayo,17.16427,-89.06909,Private room,280,1,43,2023-04-19,0.36,11,315,1,
171301,Hut in San Ignacio · ★4.57 · 1 bedroom · 2 beds · 1 bath,817242,Michael,Cayo,Cayo,17.16435,-89.06896,Entire home/apt,176,1,107,2023-12-02,0.90,11,232,6,
215095,Home in Seine Bight · ★4.92 · 3 bedrooms · 7 beds · 2 baths,1110584,Holly,Stann Creek,Stann Creek Mainland,16.57648,-88.36633,Entire home/apt,402,2,13,2022-07-02,0.09,1,99,0,
254291,Home in Placencia · ★4.69 · 1 bedroom · 3 beds · 1 bath,1512929,Andrea,Stann Creek,Stann Creek Mainland,16.53274035676609,-88.35956491917749,Entire home/apt,222,1,141,2023-11-20,1.01,5,298,12,
261882,Cabin in Placencia · ★4.79 · Studio · 2 beds · 1 bath,1512929,Andrea,Stann Creek,Stann Creek Mainland,16.531676726026667,-88.3604321000235,Entire home/apt,203,1,186,2023-12-22,1.29,5,290,9,
308361,Bed and breakfast in Belmopan · ★4.91 · 1 bedroom · 1 bed · 1 private bath,1586187,Jorge Omar,Cayo,Cayo,17.25719,-88.77812,Private room,210,1,11,2023-12-07,0.10,1,353,4,
415419,Guest suite in Belmopan · ★4.60 · 1 bedroom · 3 beds · 1 private bath,2066467,Marta,Cayo,Cayo,17.24892,-88.76021,Private room,142,2,10,2017-09-15,0.07,3,365,0,
419134,Cabin in Unitedville‎ · ★4.76 · 1 bedroom · 2 beds · 1 shared bath,2084006,Lower Dover Jungle Lodge,Cayo,Cayo,17.208763122558594,-88.94560241699219,Private room,151,1,25,2023-05-13,0.21,5,88,4,
580189,Treehouse in Burrell Boom · ★4.71 · 2 bedrooms · 3 beds · 1 bath,190152663,Shanna,Belize,Belize Mainland,17.57331,-88.39648,Entire home/apt,198,1,184,2023-12-19,1.39,2,0,27,
591211,Rental unit in Belize City · ★4.90 · 1 bedroom · 2 beds · 1 bath,2917510,Carolyn,Belize,Belize Mainland,17.51173,-88.22397,Entire home/apt,161,2,31,2023-03-02,0.23,6,364,4,
597282,Cottage in Caye Caulker · ★4.79 · Studio · 2 beds · 1 bath,157752,Monique,Belize,Belize Islands,17.7361,-88.02777,Entire home/apt,121,3,230,2023-12-06,1.73,3,220,18,
601962,Serviced apartment in Placencia · ★4.83 · 2 bedrooms · 2 beds · 2 baths,733857,Jacqueline Ann,Stann Creek,Stann Creek Mainland,16.52566,-88.37085,Entire home/apt,395,7,53,2023-03-04,0.41,5,264,3,
736308,Home in Corozal · ★4.79 · 1 bedroom · 4 beds · 1 bath,3843219,Pernell,Corozal,Corozal,18.32931,-88.32932,Entire home/apt,353,2,40,2023-06-11,0.33,1,308,1,
788130,Home in Belize City · ★4.88 · 4 bedrooms · 5 beds · 2 baths,2917510,Carolyn,Belize,Belize Mainland,17.51103,-88.22488,Entire home/apt,434,1,103,2023-11-23,0.98,6,34,22,
985520,Bungalow in Caye Caulker · ★4.76 · 2 bedrooms · 2 beds · 2 baths,2267459,Tropical Dreams,Belize,Belize Islands,17.7409,-88.02666,Entire home/apt,239,2,259,2023-12-24,2.14,4,295,27,
1035815,Vacation home in Placencia · 2 bedrooms · 4 beds · 3 baths,5701805,Martin,Stann Creek,Stann Creek Mainland,16.51452,-88.36767,Entire home/apt,2523,2,0,,,1,345,0,
1051976,Home in Belize City · ★4.88 · 3 bedrooms · 3 beds · 2.5 baths,5792357,Teresita,Belize,Belize Mainland,17.4899,-88.18759,Entire home/apt,238,2,111,2023-12-17,1.01,1,298,24,
1111731,Boat in Belize City · 3 bedrooms · 3 beds · 3 baths,6101757,Clifford,Belize,Belize Mainland,17.47097,-88.24955,Entire home/apt,3684,4,0,,,3,0,0,
1134575,Rental unit in Belize · ★4.51 · 1 bedroom · 1 bed · 1 bath,911311,Hilda,Belize,Belize Islands,17.73951,-88.03293,Entire home/apt,105,1,197,2023-05-06,1.54,12,319,10,
1134718,Rental unit in Belize · ★4.61 · 1 bedroom · 1 bed · 1 bath,911311,Hilda,Belize,Belize Islands,17.73951,-88.03293,Entire home/apt,109,1,145,2023-08-03,1.15,12,273,15,
1135021,Rental unit in Belize · ★4.46 · 1 bedroom · 1 bed · 1 bath,911311,Hilda,Belize,Belize Islands,17.73951,-88.03293,Entire home/apt,109,1,180,2023-12-06,1.39,12,347,15,
1135078,Rental unit in Belize · ★4.36 · 1 bedroom · 1 bed · 1 bath,911311,Hilda,Belize,Belize Islands,17.73951,-88.03293,Entire home/apt,108,1,157,2023-12-03,1.27,12,337,11,
1155995,Aparthotel in Caye Caulker · ★4.65 · 1 bedroom · 1 bed · 1 bath,6334784,Tom,Belize,Belize Islands,17.73727,-88.02978,Entire home/apt,525,1,20,2023-11-09,0.16,12,197,3,
1177282,Home in Copper Bank · ★4.84 · 2 bedrooms · 2 beds · 1 bath,89385464,Tradewinds,Corozal,Corozal,18.32853,-88.32882,Entire home/apt,434,2,38,2023-01-02,0.31,3,270,1,
1187309,Rental unit in Belize City · ★4.88 · 2 bedrooms · 2 beds · 2 baths,2917510,Carolyn,Belize,Belize Mainland,17.50913,-88.22399,Entire home/apt,262,1,32,2023-10-29,0.37,6,158,8,
1305154,Rental unit in Caye Caulker · ★4.97 · Studio · 2 beds · 1 bath,727841,Hilary & Pike,Belize,Belize Islands,17.73786,-88.02817,Entire home/apt,164,3,234,2023-12-20,1.92,5,85,34,
1307280,Rental unit in Caye Caulker · ★4.96 · Studio · 2 beds · 1 bath,727841,Hilary & Pike,Belize,Belize Islands,17.73791,-88.02814,Entire home/apt,161,3,269,2023-12-18,2.22,5,78,32,
1307349,Tiny home in Caye Caulker · ★4.95 · 1 bed · 1 bath,727841,Hilary & Pike,Belize,Belize Islands,17.73805,-88.02828,Entire home/apt,167,3,231,2023-12-20,1.90,5,75,20,
1432085,Home in Caye Caulker · ★4.91 · 2 bedrooms · 2 beds · 1 bath,604999,Bobbi,Belize,Belize Islands,17.73675,-88.0285,Entire home/apt,328,2,101,2023-11-30,0.89,31,267,12,
1443152,Guesthouse in San Pedro · ★4.82 · 1 bedroom · 2 beds · 1 bath,3726010,Diana,Belize,Belize Islands,17.910810470581055,-87.97423553466797,Entire home/apt,194,1,274,2023-08-06,2.22,7,333,7,
1503151,Aparthotel in Caye Caulker · ★4.81 · 2 bedrooms · 2 beds · 1 private bath,6334784,Tom,Belize,Belize Islands,17.73705,-88.02773,Hotel room,657,2,26,2023-06-29,0.24,12,188,1,
1557575,Rental unit in San Ignacio · ★4.84 · 2 bedrooms · 3 beds · 1 bath,2556131,Shamera,Cayo,Cayo,17.15518,-89.07004,Entire home/apt,133,2,19,2023-11-18,0.28,2,346,1,
1572640,Cabin in Caye Caulker · ★4.84 · 9 bedrooms · 2 beds · 2 baths,604999,Bobbi,Belize,Belize Islands,17.73698,-88.02831,Entire home/apt,353,2,86,2023-08-10,0.81,31,30,14,
