id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
2352,Rental unit in Sint-Jans-Molenbeek · ★4.61 · 2 bedrooms · 2 beds · 1 bath,2582,Oda,,Molenbeek-Saint-Jean,50.85702,4.30771,Entire home/apt,99,2,23,2023-05-28,0.20,2,0,2,
2354,Rental unit in Sint Jans Molenbeek · ★4.60 · 1 bedroom · 1 bed · 1 bath,2582,Oda,,Molenbeek-Saint-Jean,50.85709,4.30757,Entire home/apt,89,2,5,2022-11-14,0.05,2,0,0,
45026,Rental unit in Saint-Gilles · ★4.75 · 1 bedroom · 1 bed · 1 bath,198732,Christine,,Saint-Gilles,50.82677,4.34987,Entire home/apt,65,93,61,2023-07-19,0.38,1,364,43,
48180,Rental unit in Woluwe Saint Pierre · 2 bedrooms · 2 beds · 1.5 baths,219560,Ahmet,,Woluwe-Saint-Pierre,50.83771,4.40707,Entire home/apt,200,2,0,,,1,365,0,
52796,Rental unit in Ixelles · ★4.88 · 1 bedroom · 1 bed · 1 bath,244722,Pierre,,Ixelles,50.83362,4.36057,Entire home/apt,83,5,119,2023-12-20,0.76,1,0,10,
80257,Serviced apartment in Anderlecht · ★4.75 · Studio · 2 beds · 1 bath,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,119,1,9,2023-05-07,0.07,16,360,1,
80320,Serviced apartment in Anderlecht · ★4.68 · Studio · 2 beds · 1 bath,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,151,1,75,2023-05-28,0.49,16,348,3,
80373,Serviced apartment in Anderlecht · ★4.61 · Studio · 2 beds · 1 bath,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,119,1,18,2023-05-29,0.19,16,358,2,
96293,Serviced apartment in Anderlecht · ★4.36 · 1 bedroom · 4 beds · 2 baths,433586,Kristella/Francesco,,Anderlecht,50.84053,4.3363,Entire home/apt,163,1,55,2023-05-14,0.36,16,351,1,
96642,Serviced apartment in Anderlecht · ★4.59 · Studio · 2 beds · 1 bath,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,113,1,27,2022-09-03,0.18,16,328,0,
96694,Serviced apartment in Anderlecht · ★4.49 · 1 bedroom · 3 beds · 1 bath,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,116,1,47,2023-09-24,0.32,16,353,4,
97740,Bed and breakfast in Brussels · ★4.67 · 2 bedrooms · 3 beds · 1 private bath,517059,Benoît,,Schaerbeek,50.87048,4.37904,Hotel room,,2,3,2016-05-26,0.02,2,0,0,
97768,Townhouse in Uccle · 1 bedroom · 1 bed · 1 shared bath,510480,Françoise,,Uccle,50.80688,4.33337,Private room,75,92,2,2021-06-30,0.04,2,99,0,
106677,Home in Uccle · 1 bedroom · 1 bed · 1 bath,510480,Françoise,,Uccle,50.80657,4.33571,Entire home/apt,85,92,1,2019-09-30,0.02,2,203,0,
118707,Serviced apartment in Anderlecht · ★4.55 · Studio · 2 beds · 1 bath,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,119,1,46,2023-02-27,0.30,16,358,2,
130097,Bed and breakfast in Brussels · ★4.96 · 1 bedroom · 1 bed · 1 bath,641036,Pascal,,Bruxelles,50.84581,4.35008,Hotel room,131,2,202,2023-11-26,1.33,2,297,63,
134357,Serviced apartment in Anderlecht · ★4.52 · Studio · 2 beds · 1 bath,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,120,1,25,2023-02-05,0.22,16,326,3,
134361,Serviced apartment in Anderlecht · ★4.58 · 1 bedroom · 3 beds · 1 bath,433586,Kristella/Francesco,,Anderlecht,50.83992,4.33636,Entire home/apt,121,1,40,2023-11-19,0.31,16,351,12,
