id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
17891,Rental unit in Hong Kong Island · ★4.76 · Studio · 1 bed · 1 bath,69063,Candace,,Central & Western,22.28327,114.14988,Entire home/apt,,60,73,2017-11-29,0.44,1,0,0,
72571,Rental unit in Sheung Wan · ★4.22 · Studio · 1 bed · 1 bath,304876,Brendan,,Central & Western,22.28463,114.15054,Entire home/apt,482,28,151,2022-03-11,0.97,9,0,0,
132773,Rental unit in Hong Kong Island · ★4.52 · 2 bedrooms · 3 beds · 1 bath,304876,Brendan,,Central & Western,22.28921,114.14325,Entire home/apt,1475,5,247,2023-12-03,1.63,9,0,24,
163664,Rental unit in Sheung Wan · ★4.28 · 2 bedrooms · 3 beds · 1 bath,304876,Brendan,,Central & Western,22.28494,114.14901,Entire home/apt,616,2,225,2021-02-16,1.50,9,0,0,
163742,Rental unit in Sheung Wan · ★4.35 · 2 bedrooms · 3 beds · 1 bath,304876,Brendan,,Central & Western,22.28657,114.14889,Entire home/apt,1210,4,244,2023-11-20,1.62,9,336,10,
248140,Rental unit in Sheung Wan · ★4.88 · 1 bedroom · 1 bed · 1 bath,1300549,Darren,,Central & Western,22.28228,114.14923,Entire home/apt,750,2,196,2023-12-13,1.33,1,82,26,
263081,Rental unit in Mid-level · 3 bedrooms · 6 beds · 2.5 baths,1370155,Chuster,,Central & Western,22.27723,114.15083,Private room,22281,10,0,,,1,340,0,
274589,Rental unit in Hong Kong Island · ★4.76 · 2 bedrooms · 3 beds · 1 bath,1435069,Shanshan,,Wan Chai,22.27924,114.16995,Entire home/apt,1615,4,274,2023-11-21,1.87,1,235,26,
280746,Rental unit in Hong Kong · ★4.33 · 3 bedrooms · 3 beds · 2 baths,1443229,Alice,,Yuen Long,22.46592,113.98207,Entire home/apt,1047,3,46,2023-12-03,0.32,4,307,7,
463214,Condo in Sai Wan · ★4.13 · 2 bedrooms · 2 beds · 2 baths,2296168,Arnaud,,Central & Western,22.28537,114.14238,Entire home/apt,1283,3,19,2020-01-04,0.14,1,0,0,
505456,Rental unit in Sheung Wan · ★4.69 · 1 bedroom · 2 beds · 1 bath,1189239,Audrey,,Central & Western,22.28543,114.1489,Entire home/apt,884,1,274,2023-11-14,1.95,1,243,29,
