id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50188,Villa in Ix-Xewkija · ★4.88 · 3 bedrooms · 3 beds · 2.5 baths,45357098,Alexandra,,Xewkija,36.03035,14.2558,Entire home/apt,150,4,181,2023-11-04,1.32,1,0,12,
53723,Rental unit in Valletta · ★4.84 · 1 bedroom · 1 bed · 1 bath,250913,Michael,,Valletta,35.89489,14.51191,Entire home/apt,95,3,128,2023-12-10,1.01,2,17,15,
102120,Home in Għajnsielem · ★4.78 · 4 bedrooms · 7 beds · 4 baths,534091,Michael,,Ghajnsielem,36.02723,14.2875,Entire home/apt,104,3,40,2023-10-28,0.29,7,328,7,
109123,"Rental unit in Nadur, · ★4.81 · 2 bedrooms · 3 beds · 1 bath",560039,Lino And Rose,,Nadur,36.0382,14.28939,Entire home/apt,50,4,115,2023-10-12,0.83,3,352,13,
113998,Rental unit in Floriana · ★4.67 · 1 bedroom · 2 beds · 1 bath,578865,Alan,,Floriana,35.89278,14.50396,Entire home/apt,49,6,201,2023-08-31,1.33,7,52,12,
114044,Condo in Ta' Xbiex · ★4.89 · 1 bedroom · 1 bed · 1 shared bath,578994,Paul,,Ta' Xbiex,35.89977,14.49223,Private room,64,2,83,2023-09-08,0.93,2,364,16,
114643,Condo in St Julian's · ★4.25 · 2 bedrooms · 3 beds · 1 bath,581374,Carol,,San Giljan,35.91748,14.48653,Entire home/apt,40,1,298,2023-12-01,2.93,2,220,57,
115387,Rental unit in Marsalforn · ★4.46 · Studio · 1 bed · 1 bath,577652,Victor,,Zebbug (Ghawdex),36.07072,14.25883,Entire home/apt,46,3,157,2023-12-09,1.13,13,0,16,
116725,Villa in San Pawl il-Baħar · ★4.84 · 3 bedrooms · 6 beds · 2 baths,589735,TwoRoom,,San Pawl il-Bahar,35.95338,14.42346,Entire home/apt,148,5,76,2023-11-19,0.53,5,292,4,
122193,Rental unit in Msida · ★4.92 · 1 bedroom · 2 beds · 1 private bath,612796,Marco,,Msida,35.89343,14.48897,Private room,52,3,61,2023-11-11,0.95,1,170,17,
152275,Rental unit in St Julian's · ★4.56 · 1 bedroom · 2 beds · 1 shared bath,732702,Santina,,San Giljan,35.91796,14.48802,Private room,30,2,74,2023-11-20,0.54,2,155,11,
156257,Rental unit in Gzira · ★4.81 · 2 bedrooms · 5 beds · 1.5 baths,610336,Alexander,,Sliema,35.90856,14.49841,Private room,21,3,147,2023-10-23,0.97,1,261,9,
158233,Loft in Tas-Sliema · ★4.80 · 1 bedroom · 2 beds · 1 bath,721498,Natalia And Mazen,,Sliema,35.91287,14.49484,Entire home/apt,25,3,338,2023-12-18,2.99,4,250,41,
161025,Condo in Msida · ★4.90 · 1 bedroom · 2 beds · 1 shared bath,762525,Lorna,,Msida,35.897705402263696,14.48394852104805,Shared room,14,2,21,2023-11-20,0.27,10,348,7,
163284,Earthen home in Siggiewi · ★4.80 · 1 bedroom · 2 beds · 1 bath,779619,Michael,,Siggiewi,35.85566,14.39622,Entire home/apt,250,2,10,2018-11-16,0.11,3,365,0,
168929,Condo in St Julian's · ★4.66 · 3 bedrooms · 4 beds · 2 baths,805030,Jason,,San Giljan,35.92419,14.49155,Entire home/apt,106,3,158,2023-01-02,1.14,3,341,1,
172547,Rental unit in Ta' Xbiex · 1 bedroom · 2 beds · 1 bath,805030,Jason,,San Giljan,35.92239,14.49254,Private room,113,3,0,,,3,362,0,
