id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
902204483159469676,Rental unit in Gamle Oslo · 1 bedroom · 1 bed · 1 bath,513761224,Frida,,Gamle Oslo,59.9150021647304,10.79150638475438,Entire home/apt,1077,2,2,2023-06-25,0.30,1,360,2,
937445976907901508,Rental unit in Oslo Municipality · ★5.0 · 1 bedroom · 1 bed · 1 bath,9046604,Peppe,,Sagene,59.93396,10.76297,Private room,750,3,7,2023-09-18,1.44,1,89,7,
27795076,Condo in Gamle Oslo · ★4.89 · 1 bedroom · 1 bed · 1 shared bath,29682108,Åse Anna,,Gamle Oslo,59.91398,10.76569,Private room,600,1,236,2023-12-14,3.65,1,36,72,
917780550496798767,Rental unit in Bydel Sagene · 1 bedroom · 1 bed · 1 bath,43324566,Silje,,Sagene,59.9417092,10.7748328,Entire home/apt,700,300,2,2023-07-14,0.33,1,363,2,
18018676,Loft in Gamle Oslo · ★5.0 · 1 bedroom · 1 bed · 1 bath,10727315,Snorre,,Gamle Oslo,59.91134,10.77373,Entire home/apt,1157,2,4,2023-11-29,0.33,1,16,4,
576713018494252895,Loft in Gamle Oslo · ★4.94 · 1 bedroom · 1 bed · 1 shared bath,41218910,Sergiy,,Gamle Oslo,59.9019,10.77223,Private room,1200,2,18,2023-06-04,0.82,1,27,1,
830406752304029980,Rental unit in Oslo · 1 bedroom · 1 bed · 1 shared bath,186299121,Ann,,Frogner,59.9183987485845,10.715366785419368,Private room,900,2,0,,,1,364,0,
957218336847851156,Rental unit in Gamle Oslo · 1 bedroom · 1 bed · 1 bath,60581788,Hanna,,Gamle Oslo,59.9128,10.78306,Entire home/apt,1227,1,0,,,1,269,0,
1046305908222821067,Rental unit in Grünerløkka · ★New · 2 bedrooms · 2 beds · 1 bath,531796013,Ivana,,Grünerløkka,59.92359889999999,10.789865,Entire home/apt,1814,1,0,,,1,266,0,
913756248033186780,Rental unit in Bydel Sagene · Studio · 1 bed · 1 bath,286100747,Sigve,,Sagene,59.94121819999999,10.7755807,Entire home/apt,800,3,2,2023-07-28,0.34,1,181,2,
812871609677971390,Rental unit in Bydel Østensjø · ★5.0 · 2 bedrooms · 2 beds · 1 bath,36916169,Thomas,,Østensjø,59.8991441,10.8491353,Entire home/apt,990,3,6,2023-10-16,0.75,1,169,6,
916526252231082872,Rental unit in Røa · 2 bedrooms · 2 beds · 1 bath,271776154,Jonatan,,Vestre Aker,59.9448,10.64889,Entire home/apt,2500,4,0,,,1,90,0,
12225805,Home in Oslo · 1 bedroom · 1 bed · 1 bath,19915514,Bård Ove,,Nordre Aker,59.95318,10.73827,Entire home/apt,550,1,2,2016-07-01,0.02,2,0,0,
829584102066337307,Rental unit in Grünerløkka · 2 bedrooms · 2 beds · 1 bath,48488413,Anna,,Grünerløkka,59.9317221,10.7893691,Entire home/apt,1999,3,1,2023-08-14,0.22,1,362,1,
654253514671812543,Condo in Majorstuen · ★4.57 · 1 bedroom · 1 bed · 2.5 baths,55369247,Mads,,Frogner,59.92538,10.71418,Entire home/apt,1300,4,7,2023-08-13,0.41,1,194,3,
27807284,Rental unit in Gamle Oslo · ★4.08 · 1 bedroom · 3 beds · 1.5 baths,20437055,Mauri,,Gamle Oslo,59.91109,10.76445,Entire home/apt,1250,2,12,2022-12-08,0.18,22,363,0,
32684127,Condo in Alna · 1 bedroom · 1 bed · 1 private bath,36981956,Daniel,,Alna,59.91388,10.83567,Private room,559,2,0,,,1,364,0,
623652647440641489,Home in Søndre Nordstrand · ★5.0 · 4 bedrooms · 5 beds · 2 baths,7976013,Marte,,Nordstrand,59.86034,10.82341,Entire home/apt,1600,3,3,2023-08-05,0.17,1,29,2,
806972212657353732,Rental unit in Oslo kommune · 1 bedroom · 1 bed · 1 bath,20637334,Anja,,St. Hanshaugen,59.92951158144587,10.734105606666697,Entire home/apt,1202,2,0,,,1,155,0,
649304720126178627,Condo in Bydel Sagene · ★4.88 · 1 bedroom · 1 bed · 1 bath,464277027,Ingeborg,,Sagene,59.941908912425944,10.761328674852848,Entire home/apt,1400,2,8,2023-07-03,0.47,1,363,2,
51670540,Condo in Gamle Oslo · ★5.0 · 2 bedrooms · 2 beds · 1.5 baths,16039400,Marius Helge,,Gamle Oslo,59.90768,10.77434,Entire home/apt,1857,3,10,2023-10-29,1.05,1,260,10,
611404286364459333,Condo in Frogner · ★4.88 · 1 bedroom · 1 bed · 1 bath,110269313,Vidar,,Frogner,59.91492,10.72186,Entire home/apt,1036,2,16,2023-09-10,0.87,1,3,9,
1012064348478808715,Rental unit in Majorstuen · ★New · 1 bedroom · 1 bed · 1 bath,54468285,Therese,,Frogner,59.923205672426874,10.715175876925633,Entire home/apt,1400,1,0,,,1,23,0,
1041182678345262917,Rental unit in Grünerløkka · ★New · 2 bedrooms · 1 bath,40356668,Trygve,,Grünerløkka,59.917890759344694,10.762727146032706,Entire home/apt,1750,1,0,,,1,30,0,
898248590498875388,Rental unit in Majorstuen · 2 bedrooms · 2 beds · 1 bath,73336509,Silje,,Frogner,59.925706627213145,10.709517674714167,Entire home/apt,1600,1,1,2023-12-26,1,1,364,1,
49543879,Condo in Gamle Oslo · ★5.0 · 1 bedroom · 1 bed · 1 bath,62111257,Marianne,,Gamle Oslo,59.91352,10.78308,Entire home/apt,1280,2,6,2023-01-13,0.43,1,365,2,
984676737498522222,Condo in Grünerløkka · 1 bedroom · 1 bed · 1 bath,182651680,Camilla,,Grünerløkka,59.9309329,10.7767559,Entire home/apt,960,2,1,2023-10-30,0.49,1,264,1,
721639716520707256,Condo in Sentrum · ★4.74 · 1 bedroom · 1 bed · 1 shared bath,34643949,Mohammad,,Frogner,59.9092,10.72275,Private room,,2,19,2023-07-03,1.24,2,0,11,
24661143,Rental unit in Gamle Oslo · ★5.0 · 3 bedrooms · 4 beds · 1.5 baths,1252912,Solveig,,Gamle Oslo,59.91256,10.78022,Entire home/apt,2500,2,7,2023-07-02,0.11,1,120,1,
37657407,Condo in Søndre Nordstrand · ★5.0 · 1 bedroom · 1 bed · 1 bath,157473699,Hennie,,Søndre Nordstrand,59.824867,10.799067,Entire home/apt,,2,5,2023-08-12,0.62,1,0,5,
43299312,Condo in Grünerløkka · ★5.0 · Studio · 1 bed · 1 bath,40495349,Vilde,,Grünerløkka,59.92876,10.76222,Entire home/apt,,2,6,2023-11-20,0.14,1,0,5,
985242442123844790,Rental unit in Grünerløkka · ★5.0 · 1 bedroom · 1 bed · 1 bath,452539989,Hågen,,St. Hanshaugen,59.918381986700574,10.751098059117794,Entire home/apt,,1,4,2023-12-10,2.14,1,0,4,
571699761237131537,Condo in Grünerløkka · ★5.0 · 1 bedroom · 2 beds · 1 bath,303849142,Hanne Sofie,,Grünerløkka,59.927738,10.752218,Entire home/apt,950,4,3,2023-12-10,0.16,1,10,2,
921757740065699887,Rental unit in Majorstuen · 1 bedroom · 2 beds · 1 bath,217101573,Jens,,Frogner,59.9230932,10.7096354,Entire home/apt,1641,3,0,,,1,90,0,
916576650054758602,Rental unit in Holmenkollen · 3 bedrooms · 3 beds · 2 baths,143405216,Nora Marie,,Vestre Aker,59.96758,10.64276,Entire home/apt,2200,2,0,,,1,86,0,
1001136313456546747,Rental unit in Gamle Oslo · ★4.20 · 1 bedroom · 3 beds · 1 bath,84739248,Carlos Fernando,,Gamle Oslo,59.91291935901972,10.761032290756702,Entire home/apt,1602,2,5,2023-11-19,2.54,5,1,5,
630386230747857585,Condo in Sankt Hanshaugen · ★4.80 · 1 bedroom · 2 beds · 1 bath,27009831,Liza,,St. Hanshaugen,59.91905,10.73864,Entire home/apt,1114,1,25,2023-11-26,1.29,1,0,17,
917265970078526104,Rental unit in Sentrum · 1 bedroom · 1 bed · 1 bath,140091619,Glenn,,Sentrum,59.910590785777615,10.747489529499799,Entire home/apt,1300,2,0,,,1,0,0,
663034706336070603,Condo in Bydel Sagene · 3 bedrooms · 3 beds · 1 bath,198164010,Joakim,,Sagene,59.93672,10.76064,Entire home/apt,,2,2,2023-08-09,0.12,1,0,1,
671395864732970316,Condo in Sankt Hanshaugen · ★4.94 · 1 bedroom · 2 beds · 1 bath,142970573,Gullik-André,,Sentrum,59.91956399999999,10.7370337,Entire home/apt,,2,18,2023-10-29,1.06,1,0,12,
1003676339379293866,Rental unit in Sankt Hanshaugen · 1 bedroom · 1 bed · 1 bath,542135585,Ellen,,St. Hanshaugen,59.92057508269699,10.736279015969062,Entire home/apt,834,1,0,,,1,257,0,
997889807226550666,Rental unit in Bydel Sagene · 1 bedroom · 1 bed · 1 bath,297770473,Andreas,,Sagene,59.93176,10.75611,Entire home/apt,949,1,2,2023-11-05,0.97,1,146,2,
971450037302851623,Condo in Grünerløkka · ★4.90 · 1 bedroom · 2 beds · 1 bath,35759946,Ole Viktor,,Grünerløkka,59.91947,10.76588,Entire home/apt,1054,1,29,2023-12-21,9.89,1,24,29,
7080164,Condo in Oslo · ★4.86 · 2 bedrooms · 2 beds · 1 bath,37118839,Ruben,,Sagene,59.92915,10.76027,Entire home/apt,1104,2,21,2022-08-15,0.20,1,96,0,
901196333785153991,Rental unit in Gamle Oslo · 3 bedrooms · 3 beds · 1 bath,31703276,Martin,,Grünerløkka,59.9229803,10.7871556,Entire home/apt,2000,5,0,,,1,0,0,
871861166378638122,Rental unit in Bydel Sagene · 2 bedrooms · 1 bed · 1 bath,1976576,Vladimir,,Sagene,59.93979101662041,10.763240372658746,Entire home/apt,,5,0,,,1,358,0,
39548360,Rental unit in Sentrum · ★4.64 · 1 bedroom · 1 bed · 2 baths,303605173,Anders,,Frogner,59.9154578461304,10.72484604990984,Private room,819,3,82,2023-11-26,1.63,8,0,25,
983126582160397075,Rental unit in Bydel Sagene · ★4.66 · 1 bedroom · 1 bath,537681696,Deric,,Sagene,59.93062,10.75303,Entire home/apt,1175,2,28,2023-12-28,9.33,1,0,28,
825963225719486672,Rental unit in Frogner · ★4.38 · 1 bedroom · 2 beds · 1 bath,222556365,Kawa Eiendom AS,,Frogner,59.91295074773971,10.7216843717167,Entire home/apt,920,1,73,2023-12-25,8.66,3,0,73,
938405194413606167,Rental unit in Bydel Sagene · ★4.80 · 2 bedrooms · 2 beds · 1 bath,25927831,Haakon,,Sagene,59.94590546117079,10.76782263815403,Entire home/apt,,3,4,2023-10-28,1.14,16,0,4,
974774610804290747,Rental unit in Frogner · ★4.57 · 1 bedroom · 1 bed · 1 bath,223015398,Lina,,Frogner,59.91622655806793,10.714431915904862,Private room,513,2,20,2023-12-11,5.56,7,0,20,
39547377,Rental unit in Sentrum · ★4.59 · 1 bedroom · 1 bed · 2 baths,303605173,Anders,,Frogner,59.91395880171612,10.724370382294662,Private room,819,3,48,2023-12-12,0.94,8,0,24,
