id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
21134,Rental unit in Riga · ★4.75 · 1 bedroom · 1 bed · 1 shared bath,80446,Ieva And Florian Daniel,,Avoti,56.95296,24.13101,Private room,10,90,74,2023-06-30,0.49,2,144,1,
120480,Rental unit in Riga · ★4.58 · 2 bedrooms · 2 beds · 1 bath,606352,Kristine,,VecpilsÄta,56.9528,24.10551,Entire home/apt,61,2,558,2023-12-12,3.66,1,334,59,
260539,Rental unit in Riga · ★4.60 · 2 bedrooms · 5 beds · 1.5 baths,1297653,Aiva,,Centrs,56.95683,24.13622,Entire home/apt,80,7,42,2023-08-18,0.33,2,194,4,
275688,Rental unit in Riga · ★4.69 · 1 bedroom · 3 beds · 1 bath,1441076,Marianna,,VecpilsÄta,56.94583,24.11249,Entire home/apt,100,3,16,2023-05-23,0.13,5,85,1,
298935,Condo in Riga · ★5.0 · Studio · 1 bed · 1 bath,1540565,Egons,,Ä¶engarags,56.91516,24.16575,Entire home/apt,45,2,4,2023-07-16,0.26,1,177,3,
353581,Rental unit in Riga · ★4.43 · 1 bedroom · 3 beds · 1 bath,1441076,Marianna,,VecpilsÄta,56.94667,24.11297,Entire home/apt,141,3,7,2018-09-23,0.06,5,79,0,
355961,Rental unit in Riga · ★4.71 · 2 bedrooms · 1 bath,1441076,Marianna,,VecpilsÄta,56.94639,24.11266,Entire home/apt,133,3,8,2023-05-15,0.06,5,84,1,
363262,Rental unit in Riga · ★4.88 · 1 bedroom · 2 beds · 1 bath,1441076,Marianna,,VecpilsÄta,56.94754,24.11412,Entire home/apt,98,3,17,2022-07-13,0.13,5,68,0,
429062,Rental unit in Riga · ★4.88 · 1 bedroom · 1 bed · 1 bath,2054298,Ilona,,Centrs,56.95641,24.12503,Entire home/apt,73,2,96,2023-09-25,0.69,1,363,11,
433373,Rental unit in Riga · ★4.88 · 1 bedroom · 2 beds · 1 bath,2153755,Jelena,,VecpilsÄta,56.94823,24.1079,Entire home/apt,85,2,24,2023-07-11,0.18,2,353,1,
445853,Rental unit in Riga · ★4.72 · 1 bedroom · 1 bed · 1 bath,1929477,Nina,,Centrs,56.96189,24.13238,Entire home/apt,93,1,156,2023-12-05,1.12,2,0,18,
446612,Rental unit in Riga · ★4.81 · 1 bedroom · 1 bed · 1 bath,2218232,"Liga, Toms",,TorÅakalns,56.94025,24.09502,Entire home/apt,40,2,201,2020-01-06,1.42,1,88,0,
