id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
68398,Rental unit in Daan District · ★4.70 · 1 bedroom · 1 bed · 1 bath,339014,Lisa,,大安區,25.0287746,121.55468591047,Entire home/apt,1042,30,10,2023-12-09,0.07,8,234,3,
271733,Rental unit in Wenshan District · ★4.97 · 2 bedrooms · 2 beds · 1 bath,242033,Robyn And David,,文山區,25.00581,121.55518,Entire home/apt,1200,14,68,2023-10-06,0.47,1,124,4,
289296,Rental unit in Daan District · ★4.57 · 2 bedrooms · 2 beds · 1 bath,1338052,Herman,,大安區,25.04287,121.55112,Entire home/apt,2545,28,28,2023-05-20,0.25,2,365,3,
289298,Rental unit in Zhongshan District · ★4.84 · 1 bedroom · 1 bed · 1 bath,1338052,Herman,,中山區,25.08091,121.55902,Entire home/apt,2115,30,187,2022-01-12,1.44,2,348,0,
333362,Rental unit in Jhongshan District · ★4.79 · 1 bedroom · 2 beds · 1 bath,1698423,Jojo,,中山區,25.07893,121.55061,Entire home/apt,1866,4,85,2023-12-17,0.59,1,303,7,
375718,Condo in Daan District · ★4.71 · 1 bedroom · 1 bed · 1 bath,1398361,Second,,大安區,25.04178,121.551,Entire home/apt,2917,9,8,2023-08-08,0.06,8,0,2,
697749,Rental unit in Daan District · ★4.33 · 1 bedroom · 1 bed · 1 bath,339014,Lisa,,大安區,25.0287746,121.55468591047,Entire home/apt,1012,30,3,2021-01-17,0.03,8,257,0,
697760,Rental unit in Daan District · ★4.75 · 1 bedroom · 1 bath,339014,Lisa,,大安區,25.028775,121.554686,Entire home/apt,1042,30,4,2021-02-05,0.04,8,273,0,
697805,Rental unit in Daan District · ★5.0 · 1 bedroom · 1 bath,339014,Lisa,,大安區,25.028779,121.552111,Entire home/apt,1012,30,10,2023-06-16,0.08,8,120,2,
718493,Rental unit in Neihu District · ★4.57 · 2 bedrooms · 2 beds · 1 bath,3705836,Gordon,,內湖區,25.0692,121.58582,Entire home/apt,2306,14,90,2020-12-24,0.66,11,309,0,
