Airline,Departure Date,Time,Price(USD),Origin,Origin Name,Origin Country,Destination,Destination Name,Destination Country
Wizz Air,2024-01-20,9:25 pm  –  9:45 pm+1,149.0,WAW,Okecie,Poland,ATH,Eleftherios Venizelos Airport,Greece
"Wizz Air, Wizz Air Malta",2024-01-20,6:00 pm  –  9:40 am+1,164.0,WAW,Okecie,Poland,ATH,Eleftherios Venizelos Airport,Greece
"LOT, Wizz Air",2024-01-20,4:55 pm  –  11:10 pm,196.0,WAW,Okecie,Poland,ATH,Eleftherios Venizelos Airport,Greece
"LOT, Wizz Air",2024-01-20,1:30 pm  –  11:10 pm,210.0,WAW,Okecie,Poland,ATH,Eleftherios Venizelos Airport,Greece
"Wizz Air, Sky Express",2024-01-20,5:50 am  –  6:45 pm,226.0,WAW,Okecie,Poland,ATH,Eleftherios Venizelos Airport,Greece
"LOT, Sky Express",2024-01-20,7:35 am  –  6:45 pm,233.0,WAW,Okecie,Poland,ATH,Eleftherios Venizelos Airport,Greece
Aegean Airlines,2024-01-20,6:05 am  –  12:05 pm,234.0,WAW,Okecie,Poland,ATH,Eleftherios Venizelos Airport,Greece
"Wizz Air, Sky Express",2024-01-20,6:05 am  –  3:55 pm,238.0,WAW,Okecie,Poland,ATH,Eleftherios Venizelos Airport,Greece
"Wizz Air, ITA Airways",2024-01-20,10:40 am  –  12:45 am+1,238.0,WAW,Okecie,Poland,ATH,Eleftherios Venizelos Airport,Greece
"Wizz Air, Volotea",2024-01-20,6:05 am  –  1:35 pm,245.0,WAW,Okecie,Poland,ATH,Eleftherios Venizelos Airport,Greece
"Wizz Air, Aegean Airlines",2024-01-20,6:05 am  –  1:35 pm,254.0,WAW,Okecie,Poland,ATH,Eleftherios Venizelos Airport,Greece
Aegean Airlines,2024-01-20,1:25 pm  –  12:50 am+1,260.0,WAW,Okecie,Poland,ATH,Eleftherios Venizelos Airport,Greece
Aegean Airlines,2024-01-20,11:30 am  –  3:00 pm,261.0,WAW,Okecie,Poland,ATH,Eleftherios Venizelos Airport,Greece
"Wizz Air, Aegean Airlines",2024-01-20,6:40 am  –  5:10 pm,281.0,WAW,Okecie,Poland,ATH,Eleftherios Venizelos Airport,Greece
Aegean Airlines,2024-01-20,1:25 pm  –  9:55 pm,288.0,WAW,Okecie,Poland,ATH,Eleftherios Venizelos Airport,Greece
"LOT, easyJet",2024-01-20,7:35 am  –  5:00 pm,189.0,WAW,Okecie,Poland,AMS,Schiphol,Netherlands
"Wizz Air, Vueling",2024-01-20,6:10 am  –  1:45 pm,193.0,WAW,Okecie,Poland,AMS,Schiphol,Netherlands
British Airways,2024-01-20,12:50 pm  –  7:05 pm,209.0,WAW,Okecie,Poland,AMS,Schiphol,Netherlands
British Airways,2024-01-20,12:50 pm  –  8:30 pm,209.0,WAW,Okecie,Poland,AMS,Schiphol,Netherlands
"Wizz Air, Scandinavian Airlines",2024-01-20,6:40 am  –  2:15 pm,256.0,WAW,Okecie,Poland,AMS,Schiphol,Netherlands
"Wizz Air, British Airways",2024-01-20,5:50 am  –  1:45 pm,271.0,WAW,Okecie,Poland,AMS,Schiphol,Netherlands
LOT,2024-01-20,4:40 pm  –  6:55 pm,276.0,WAW,Okecie,Poland,AMS,Schiphol,Netherlands
LOT,2024-01-20,8:15 pm  –  10:30 pm,276.0,WAW,Okecie,Poland,AMS,Schiphol,Netherlands
